Entity,Year,Total
Western Pacific Region (WHO),2007,2749723
Western Pacific Region (WHO),2008,2806999
Western Pacific Region (WHO),2009,2866177
Western Pacific Region (WHO),2010,2933865
Western Pacific Region (WHO),2011,2984497
Western Pacific Region (WHO),2012,3020711
Western Pacific Region (WHO),2013,3052049
Western Pacific Region (WHO),2014,3106865
Western Pacific Region (WHO),2015,3155748
Western Pacific Region (WHO),2016,3234642
Western Pacific Region (WHO),2017,3314845
Western Pacific Region (WHO),2018,3413619
Western Pacific Region (WHO),2019,3531115
